thscode,trade_date,open,high,low,close,volume
700001.TI,2023-11-24,3139.379,3139.402,3106.055,3111.906,752800003.34
700001.TI,2023-11-27,3108.3,3108.841,3086.962,3103.218,752273589.6
700001.TI,2023-11-28,3099.537,3115.47,3089.388,3115.413,671213655.66
700001.TI,2023-11-29,3114.612,3115.356,3088.82,3092.754,679175401.07
700001.TI,2023-11-30,3089.486,3096.914,3070.518,3089.189,675308252.47
700001.TI,2023-12-01,3087.362,3101.334,3069.585,3095.105,712094163.7
700001.TI,2023-12-04,3095.682,3102.049,3084.827,3084.901,711346016.6
700001.TI,2023-12-05,3076.675,3076.697,3028.268,3028.268,709346677.39
700001.TI,2023-12-06,3021.819,3056.97,3019.126,3038.219,707714559.86
700001.TI,2023-12-07,3034.494,3044.221,3018.881,3033.241,700514915.85
700001.TI,2023-12-08,3033.656,3045.828,3028.667,3032.768,816099519.57
700001.TI,2023-12-11,3017.675,3062.749,2993.951,3059.43,790040862.85
700001.TI,2023-12-12,3055.063,3067.536,3052.322,3066.605,670841848.44
700001.TI,2023-12-13,3060.681,3060.681,3030.067,3030.067,661545558.79
700001.TI,2023-12-14,3042.692,3054.925,3015.961,3016.916,653124089.74
700001.TI,2023-12-15,3024.813,3035.908,2998.576,3003.221,659782953.79
700001.TI,2023-12-18,2994.664,3003.037,2970.375,2976.13,658910452.12
700001.TI,2023-12-19,2973.101,2988.891,2958.86,2979.091,594505927.53
700001.TI,2023-12-20,2982.165,2985.111,2943.561,2943.561,602808972.59
700001.TI,2023-12-21,2931.952,2973.254,2919.643,2966.081,661127118.14
700001.TI,2023-12-22,2965.127,2980.649,2940.887,2949.519,697531579.87
700001.TI,2023-12-25,2944.065,2956.897,2936.391,2952.56,549589768.6
700001.TI,2023-12-26,2951.165,2951.237,2914.387,2922.734,548305188.66
700001.TI,2023-12-27,2924.841,2941.666,2913.665,2938.026,581509442.12
700001.TI,2023-12-28,2935.192,3006.906,2930.879,2997.798,757658359.69
700001.TI,2023-12-29,2994.662,3026.978,2994.022,3026.931,693288684.29
700001.TI,2024-01-02,3026.048,3026.048,3005.037,3005.037,702704457.84
700001.TI,2024-01-03,2998.268,3007.83,2978.561,2994.881,662869187.91
700001.TI,2024-01-04,2991.593,2991.597,2958.021,2972.694,603279512.29
700001.TI,2024-01-05,2969.417,2982.707,2924.458,2937.436,674889603.05
700001.TI,2024-01-08,2931.294,2933.945,2886.695,2886.695,612161524.28
700001.TI,2024-01-09,2889.503,2911.687,2877.077,2894.468,620231519.72
700001.TI,2024-01-10,2886.313,2906.259,2860.234,2876.233,590173294.81
700001.TI,2024-01-11,2873.93,2919.543,2870.663,2909.499,652720314.86
700001.TI,2024-01-12,2902.527,2924.687,2893.562,2893.562,643282433.96
700001.TI,2024-01-15,2882.733,2911.361,2872.98,2888.82,572718319.19
700001.TI,2024-01-16,2884.876,2896.615,2855.815,2892.929,663657120.41
700001.TI,2024-01-17,2886.171,2886.171,2824.168,2824.168,605592143.19
700001.TI,2024-01-18,2809.308,2840.219,2755.592,2838.186,841586060.33
700001.TI,2024-01-19,2830.777,2845.481,2812.584,2818.63,609923998.11
700001.TI,2024-01-22,2812.64,2812.64,2697.381,2716.308,777419062.12
700001.TI,2024-01-23,2708.191,2750.056,2685.113,2737.118,692560091.64
700001.TI,2024-01-24,2748.697,2778.009,2688.73,2774.658,783138130.08
700001.TI,2024-01-25,2773.724,2848.705,2765.667,2848.146,883746130.12
700001.TI,2024-01-26,2838.674,2858.692,2825.727,2834.56,839172842.23
700001.TI,2024-01-29,2837.447,2845.628,2781.593,2781.593,811498322.95
700001.TI,2024-01-30,2763.752,2772.173,2715.487,2716.995,679072431.3
700001.TI,2024-01-31,2702.178,2719.165,2647.615,2650.862,814512067.79
700001.TI,2024-02-01,2636.352,2679.379,2610.827,2638.212,755689309.15
700001.TI,2024-02-02,2640.286,2658.208,2507.078,2574.882,901310930.44
700001.TI,2024-02-05,2556.328,2564.625,2438.466,2506.45,1022252131.52
700001.TI,2024-02-06,2477.458,2633.311,2466.575,2615.811,1102954867.81
700001.TI,2024-02-07,2619.224,2675.895,2602.073,2659.612,1172738224.11
700001.TI,2024-02-08,2667.707,2726.931,2664.589,2721.781,1163431812.5
700001.TI,2024-02-19,2752.664,2760.918,2726.457,2760.652,1021749086.05
700001.TI,2024-02-20,2751.266,2777.148,2733.94,2772.742,798799690.0
700001.TI,2024-02-21,2752.543,2850.203,2743.462,2801.882,995139055.05
